Departure,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-08-03 10:50:44,Médiathèque Emile Zola,Médiathèque Emile Zola,87.0,73
2024-08-03 10:45:53,Plan Cabanes,Observatoire,833.0,295
2024-08-03 10:44:54,Occitanie,Port Marianne,6338.0,1308
2024-08-03 10:41:07,Aiguelongue,Port Marianne,4416.0,1141
2024-08-03 10:38:37,Boutonnet,Gare Saint-Roch,2754.0,744
2024-08-03 10:33:40,Saint-Guilhem - Courreau,Port Marianne,2689.0,1111
2024-08-03 10:24:37,Gare Saint-Roch,Gare Saint-Roch,25567.0,27244
2024-08-03 10:15:42,Hôtel de Ville,Hôtel de Ville,10410.0,3958
2024-08-03 10:13:56,Saint-Denis,Plan Cabanes,4761.0,2432
2024-08-03 10:06:25,Comedie Baudin,Halles Castellane,1560.0,1416
2024-08-03 10:03:08,Comédie,Jardin de la Lironde,5017.0,2303
2024-08-03 10:02:54,Faculté des sciences,Vert Bois,4133.0,2205
2024-08-03 10:02:33,Gare Saint-Roch,Renouvier,1337.0,984
2024-08-03 10:02:30,Garcia Lorca,Vert Bois,53.0,2167
2024-08-03 10:01:36,Comédie,Jardin de la Lironde,5015.0,2394
2024-08-03 10:01:28,Faculté des sciences,Vert Bois,4124.0,2291
2024-08-03 10:01:19,Garcia Lorca,Vert Bois,51.0,2260
2024-08-03 10:00:01,Garcia Lorca,Vert Bois,51.0,2376
2024-08-03 09:58:30,Garcia Lorca,Vert Bois,40.0,2492
2024-08-03 09:56:45,Port Marianne,Port Marianne,3520.0,7556
2024-08-03 09:56:31,Plan Cabanes,Gare Saint-Roch,1415.0,517
2024-08-03 09:45:51,Voltaire,Voltaire,2.0,15
2024-08-03 09:44:53,Voltaire,Comédie,22.0,163754
2024-08-03 09:43:51,Voltaire,Comédie,16.0,163845
2024-08-03 09:43:30,Voltaire,AtelierTAM,61.0,5735
2024-08-03 09:41:10,Comédie,Les Aubes,2150.0,727
2024-08-03 09:40:45,Albert 1er - Cathédrale,Renouvier,1327.0,526
2024-08-03 09:40:38,Comédie,Les Aubes,2111.0,764
2024-08-03 09:39:49,Comédie,Comédie,0.0,21
2024-08-03 09:39:06,Comédie,Les Aubes,2135.0,866
2024-08-03 09:28:49,Pérols Etang de l'Or,Pérols Etang de l'Or,1923.0,5658
2024-08-03 09:16:32,Port Marianne,Port Marianne,6330.0,1728
2024-08-03 09:15:01,Port Marianne,Port Marianne,75.0,72
2024-08-03 09:08:00,Celleneuve,Les Arceaux,3330.0,898
2024-08-03 09:06:45,Médiathèque Emile Zola,Nombre d'Or,543.0,198
2024-08-03 09:06:42,Celleneuve,Celleneuve,0.0,21
2024-08-03 09:05:45,Médiathèque Emile Zola,Médiathèque Emile Zola,4.0,26
2024-08-03 09:02:01,Place Viala,Les Arceaux,1807.0,1843
2024-08-03 08:57:25,Gare Saint-Roch,Antigone centre,27742.0,17364
2024-08-03 08:57:05,Gare Saint-Roch,Antigone centre,28218.0,17367
2024-08-03 08:56:48,Gare Saint-Roch,Voltaire,28320.0,19430
2024-08-03 08:54:06,Place Viala,Comédie,20.0,166856
2024-08-03 08:53:01,Place Viala,Comédie,44.0,166944
2024-08-03 08:52:11,Place Viala,Comédie,22.0,167031
2024-08-03 08:49:13,Fac de Lettres,Comédie,2928.0,768
2024-08-03 08:42:35,Louis Blanc,Halles Castellane,53.0,167784
2024-08-03 08:42:07,Louis Blanc,Comédie,44.0,167659
2024-08-03 08:40:01,Louis Blanc,Halles Castellane,55.0,168007
2024-08-03 08:39:36,Louis Blanc,Halles Castellane,49.0,167992
2024-08-03 08:37:47,Louis Blanc,Halles Castellane,53.0,168200
2024-08-03 08:37:27,Louis Blanc,Halles Castellane,59.0,168188
2024-08-03 08:35:54,Jean de Beins,Comédie,4177.0,3396
2024-08-03 08:34:58,Jean de Beins,Comédie,4081.0,3438
2024-08-03 08:28:03,Antigone centre,Louis Blanc,1829.0,734
2024-08-03 08:27:12,Providence - Ovalie,Sabines,2677.0,4156
2024-08-03 08:25:40,Antigone centre,Louis Blanc,1688.0,889
2024-08-03 08:20:24,Beaux-Arts,Beaux-Arts,2.0,17
2024-08-03 08:12:42,Plan Cabanes,Rondelet,996.0,331
2024-08-03 08:11:56,Halles Castellane,Antigone centre,1288.0,509
2024-08-03 08:10:55,Halles Castellane,Antigone centre,1374.0,569
2024-08-03 07:53:48,Foch,Fac de Lettres,118.0,275494
2024-08-03 07:38:31,Médiathèque Emile Zola,Gare Saint-Roch,1092.0,361
2024-08-03 07:37:39,Médiathèque Emile Zola,Gare Saint-Roch,1186.0,436
2024-08-03 07:33:38,Occitanie,Port Marianne,10510.0,5283
2024-08-03 07:27:57,Port Marianne,Port Marianne,6326.0,27501
2024-08-03 07:25:02,Hôtel du Département,Plan Cabanes,3416.0,1088
2024-08-03 07:23:50,Hôtel du Département,Hôtel du Département,0.0,28
2024-08-03 06:15:04,Sabines,Gare Saint-Roch,3918.0,995
2024-08-03 05:37:27,Tonnelles,Voltaire,5013.0,29672
2024-08-03 05:35:50,Tonnelles,Tonnelles,59.0,65
2024-08-03 05:34:41,Boutonnet,Rondelet,2397.0,868
2024-08-03 05:32:42,Corum,Boutonnet,1666.0,579
2024-08-03 05:18:07,Marie Caizergues,Fac de Lettres,949.0,429
2024-08-03 05:12:44,Place Albert 1er - St Charles,Rondelet,2495.0,736
2024-08-03 04:53:37,Tonnelles,Rondelet,3763.0,948
2024-08-03 04:52:40,Tonnelles,Tonnelles,0.0,16
2024-08-03 04:52:19,Comedie Baudin,Comedie Baudin,3794.0,1054
2024-08-03 04:45:37,Tonnelles,Occitanie,2679.0,562
2024-08-03 04:12:28,Corum,Tonnelles,9199.0,6328
2024-08-03 04:12:27,Saint-Denis,Prés d'Arènes,1929.0,552
2024-08-03 04:11:58,Corum,Boutonnet,1866.0,1926
2024-08-03 04:07:30,Médiathèque Emile Zola,Place Albert 1er - St Charles,2293.0,724
2024-08-03 04:06:00,Sabines,Médiathèque Emile Zola,6268.0,1997
2024-08-03 03:48:59,Place Albert 1er - St Charles,Occitanie,3316.0,1602
2024-08-03 03:48:54,Place Albert 1er - St Charles,Comédie,1300.0,360
2024-08-03 03:44:50,Médiathèque Emile Zola,Médiathèque Emile Zola,0.0,24
2024-08-03 03:42:03,Boutonnet,Place Albert 1er - St Charles,1151.0,392
2024-08-03 03:41:58,Boutonnet,Comédie,2534.0,777
2024-08-03 03:41:08,Prés d'Arènes,Plan Cabanes,4643.0,1915
2024-08-03 03:40:38,Prés d'Arènes,Plan Cabanes,4714.0,1970
2024-08-03 03:40:20,Prés d'Arènes,Prés d'Arènes,0.0,17
2024-08-03 03:39:34,Prés d'Arènes,Prés d'Arènes,2.0,17
2024-08-03 03:38:15,Prés d'Arènes,Plan Cabanes,4978.0,2091
2024-08-03 03:34:06,Corum,Nouveau Saint-Roch,2793.0,938
2024-08-03 03:34:00,Corum,Nouveau Saint-Roch,2754.0,951
2024-08-03 03:27:03,Faculté des sciences,Hôtel du Département,4676.0,4409
2024-08-03 03:25:44,Boutonnet,Euromédecine,0.0,37001
2024-08-03 03:20:06,Albert 1er - Cathédrale,Boutonnet,1249.0,482
2024-08-03 03:05:23,Observatoire,Plan Cabanes,4192.0,2105
2024-08-03 03:04:38,Observatoire,Observatoire,59.0,172
2024-08-03 03:04:04,Médiathèque Emile Zola,Médiathèque Emile Zola,3467.0,2238
2024-08-03 03:03:39,Médiathèque Emile Zola,Médiathèque Emile Zola,3232.0,2264
2024-08-03 03:03:19,Médiathèque Emile Zola,Médiathèque Emile Zola,3140.0,2304
2024-08-03 03:00:02,Emile Combes,Médiathèque Emile Zola,2144.0,777
2024-08-03 02:53:58,Médiathèque Emile Zola,Euromédecine,8488.0,4550
2024-08-03 02:52:40,Médiathèque Emile Zola,Boutonnet,3873.0,1920
2024-08-03 02:52:02,Médiathèque Emile Zola,Médiathèque Emile Zola,0.0,74872
2024-08-03 02:51:22,Médiathèque Emile Zola,Médiathèque Emile Zola,8.0,122
2024-08-03 02:48:14,Saint-Denis,Celleneuve,3904.0,71737
2024-08-03 02:47:20,Saint-Denis,Celleneuve,4030.0,1442
2024-08-03 02:46:34,Saint-Denis,Celleneuve,4122.0,1451
2024-08-03 02:39:00,Corum,Corum,7583.0,3891
2024-08-03 02:37:28,Corum,Corum,24.0,44
2024-08-03 02:36:08,Corum,Corum,0.0,40
2024-08-03 02:35:21,Corum,Boutonnet,10847.0,53845
2024-08-03 02:34:35,Corum,Corum,0.0,38
2024-08-03 02:33:49,Corum,Corum,2.0,36
2024-08-03 02:32:22,Corum,Corum,8057.0,4302
2024-08-03 02:30:59,Corum,Corum,8323.0,4397
2024-08-03 02:29:41,Corum,Corum,34.0,65
2024-08-03 02:26:49,Halles Castellane,Aiguelongue,1982.0,662
2024-08-03 02:25:34,Père Soulas,Père Soulas,8.0,81
2024-08-03 02:19:12,Observatoire,Occitanie,5374.0,1639
2024-08-03 02:18:51,Gare Saint-Roch,Port Marianne,2009.0,554
2024-08-03 02:17:59,Gare Saint-Roch,Gare Saint-Roch,0.0,17
2024-08-03 02:14:52,Gare Saint-Roch,Port Marianne,2109.0,806
2024-08-03 02:14:36,Les Arceaux,Père Soulas,1468.0,574
2024-08-03 02:13:44,Port Marianne,Voltaire,1347.0,498
2024-08-03 02:13:23,Observatoire,Observatoire,14.0,209
2024-08-03 02:13:21,Les Arceaux,Les Arceaux,0.0,16
2024-08-03 02:12:43,Port Marianne,Port Marianne,0.0,24
2024-08-03 02:12:09,Port Marianne,Voltaire,1200.0,589
2024-08-03 02:12:07,Port Marianne,Voltaire,1188.0,588
2024-08-03 02:11:58,Comédie,Tonnelles,3720.0,1455
2024-08-03 02:11:44,Gare Saint-Roch,Port Marianne,2250.0,972
2024-08-03 02:10:56,Port Marianne,Port Marianne,0.0,17
2024-08-03 02:10:47,Comédie,Tonnelles,3828.0,1575
2024-08-03 02:10:29,Comédie,Comédie,0.0,17
2024-08-03 02:10:17,Les Arceaux,Malbosc,3820.0,2385
2024-08-03 02:10:06,Comédie,Tonnelles,3863.0,1600
2024-08-03 02:09:55,Gare Saint-Roch,Gare Saint-Roch,347.0,229
2024-08-03 02:09:53,Comédie,Tonnelles,3908.0,1593
2024-08-03 02:09:29,Comédie,Tonnelles,4086.0,1654
2024-08-03 02:09:10,Gare Saint-Roch,Gare Saint-Roch,0.0,16
2024-08-03 02:08:28,Antigone centre,Boutonnet,0.0,4594
2024-08-03 01:57:05,Gare Saint-Roch,Charles Flahault,2246.0,838
2024-08-03 01:54:54,Observatoire,Plan Cabanes,922.0,545
2024-08-03 01:54:45,Rondelet,Garcia Lorca,3577.0,31298
2024-08-03 01:54:08,Rondelet,Prés d'Arènes,2936.0,30992
2024-08-03 01:53:55,Rondelet,Rondelet,0.0,16
2024-08-03 01:53:08,Faculté des sciences,Garcia Lorca,7218.0,47281
2024-08-03 01:53:07,Observatoire,Observatoire,10.0,61
2024-08-03 01:50:06,Voltaire,Voltaire,3036.0,5880
2024-08-03 01:32:30,Place Albert 1er - St Charles,Louis Blanc,347.0,124
2024-08-03 01:26:52,Faculté des sciences,Albert 1er - Cathédrale,3338.0,1101
2024-08-03 01:26:42,Comédie,Tonnelles,3657.0,1160
2024-08-03 01:18:58,Jardin de la Lironde,Sud De France,28839.0,9103
2024-08-03 01:13:19,Gare Saint-Roch,Garcia Lorca,2799.0,830
2024-08-03 01:05:27,Halles Castellane,Jeu de Mail des Abbés,1529.0,486
2024-08-03 01:02:29,Médiathèque Emile Zola,Médiathèque Emile Zola,8564.0,9544
2024-08-03 01:01:16,Médiathèque Emile Zola,Médiathèque Emile Zola,0.0,18
2024-08-03 00:53:30,Gare Saint-Roch,Hôtel de Ville,1641.0,501
2024-08-03 00:53:05,Faculté des sciences,Observatoire,1950.0,1679
2024-08-03 00:39:37,Gare Saint-Roch,Antigone centre,1909.0,661
2024-08-03 00:35:23,Gare Saint-Roch,Antigone centre,1670.0,909
2024-08-03 00:34:30,Gare Saint-Roch,Antigone centre,1737.0,956
2024-08-03 00:34:24,Comédie,Observatoire,17332.0,6612
2024-08-03 00:32:23,Plan Cabanes,Celleneuve,2983.0,835
2024-08-03 00:31:42,Plan Cabanes,Plan Cabanes,0.0,17
2024-08-03 00:31:36,Place Albert 1er - St Charles,Prés d'Arènes,13152.0,30219
2024-08-03 00:02:56,Boutonnet,Médiathèque Emile Zola,4363.0,1261
